# file: coastlines.data
#
# These data are derived from 'earthmap.c' (part of xephem), which in turn
# is derived from 'mapdata.c' (part of xearth).  'earthmap.c' and 'mapdata.c'
# include the following notice:
#
#  Copyright (C) 1989, 1990, 1993, 1994 Kirk Lauritz Johnson
#  Permission to use, copy, modify, distribute, and sell this
#  software and its documentation for any purpose is hereby granted
#  without fee, provided that the above copyright notice appear in
#  all copies and that both that copyright notice and this
#  permission notice appear in supporting documentation. The author
#  makes no representations about the suitability of this software
#  for any purpose. It is provided "as is" without express or
#  implied warranty.
#
#  THE AUTHOR DISCLAIMS ALL WARRANTIES WITH REGARD TO THIS SOFTWARE,
#  INCLUDING ALL IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS,
#  IN NO EVENT SHALL THE AUTHOR BE LIABLE FOR ANY SPECIAL, INDIRECT
#  OR CONSEQUENTIAL DAMAGES OR ANY DAMAGES WHATSOEVER RESULTING FROM
#  LOSS OF USE, DATA OR PROFITS, WHETHER IN AN ACTION OF CONTRACT,
#  NEGLIGENCE OR OTHER TORTIOUS ACTION, ARISING OUT OF OR IN
#  CONNECTION WITH THE USE OR PERFORMANCE OF THIS SOFTWARE.

# The three columns are:
#   Longitude (degrees * 100)
#   Latitude (degrees * 100)
#   N (1: first point on a new land mass, 0 otherwise)
#
# Note that a few points (e.g., in far eastern Siberia) are assigned
# longitudes < -180 or > 180;  this allows these land masses to be drawn
# as polygons even if they cross the 180th meridian.

# The last point given for each land mass is the same as the first (except
# for Antarctica, which is circumpolar and thus cannot be rendered as a
# closed polygon on a Mercator projection).

# Long.  Lat. N
 -7374   7951 0
 -7150   7978 0
 -7037   8037 0
 -6921   8048 0
 -6723   8095 0
 -6606   8118 0
 -6473   8141 0
 -6729   8136 0
 -6945   8118 0
 -6729   8145 0
 -6843   8159 0
 -6576   8168 0
 -6411   8179 0
 -6244   8200 0
 -6133   8224 0
 -6245   8249 0
 -6491   8283 0
 -6745   8270 0
 -7038   8303 0
 -7181   8303 0
 -7310   8286 0
 -7410   8294 0
 -7617   8303 0
 -7617   8258 0

 12012   -558 1
 12036   -554 0
 12034   -527 0
 12030   -500 0
 12038   -387 0
 12044   -280 0
 12106   -369 0
 12168   -479 0
 12272   -440 0
 12233   -334 0
 12188   -239 0
 12238   -146 0
 12327    -97 0
 12213    -85 0
 12117   -128 0
 12010    -67 0
 12030     40 0
 12141     48 0
 12254     49 0
 12364     29 0
 12463     73 0
 12510    166 0
 12425    101 0
 12315     94 0
 12201    105 0
 12093    133 0
 11999     55 0
 11979    -68 0
 11931   -159 0
 11888   -263 0
 11945   -352 0
 11954   -465 0
 11964   -565 0
 12012   -558 0

  9522    552 1
  9524    531 0
  9534    504 0
  9547    477 0
  9631    398 0
  9719    327 0
  9775    231 0
  9874    168 0
  9908     60 0
  9979    -19 0
 10040   -115 0
 10087   -218 0
 10154   -311 0
 10231   -393 0
 10321   -465 0
 10407   -538 0
 10507   -573 0
 10587   -505 0
 10591   -390 0
 10573   -268 0
 10467   -258 0
 10445   -146 0
 10344    -75 0
 10374     23 0
 10261     21 0
 10211    134 0
 10128    204 0
 10023    258 0
  9951    330 0
  9857    397 0
  9796    476 0
  9700    526 0
  9591    545 0
  9522    552 0

  4327  -2199 1
  4328  -2224 0
  4332  -2255 0
  4340  -2283 0
  4368  -2388 0
  4407  -2494 0
  4514  -2552 0
  4631  -2518 0
  4726  -2458 0
  4767  -2348 0
  4797  -2236 0
  4837  -2127 0
  4872  -2015 0
  4908  -1905 0
  4945  -1796 0
  4969  -1689 0
  4971  -1586 0
  5043  -1511 0
  5016  -1400 0
  4985  -1289 0
  4885  -1247 0
  4852  -1345 0
  4786  -1422 0
  4709  -1535 0
  4608  -1578 0
  4501  -1612 0
  4417  -1710 0
  4405  -1818 0
  4437  -1927 0
  4427  -2033 0
  4363  -2128 0
  4327  -2199 0

 14099   4149 1
 14081   4126 0
 14112   4120 0
 14118   4096 0
 14015   4077 0
 14006   3970 0
 13960   3861 0
 13880   3771 0
 13772   3700 0
 13675   3729 0
 13624   3628 0
 13543   3551 0
 13414   3553 0
 13307   3554 0
 13198   3482 0
 13090   3422 0
 13204   3386 0
 13300   3431 0
 13421   3466 0
 13541   3458 0
 13547   3356 0
 13640   3419 0
 13735   3463 0
 13868   3503 0
 13986   3554 0
 14060   3635 0
 14103   3743 0
 14151   3844 0
 14200   3949 0
 14153   4055 0
 14099   4149 0

  -501   5857 1
  -505   5836 0
  -527   5817 0
  -523   5795 0
  -569   5700 0
  -559   5585 0
  -508   5495 0
  -387   5483 0
  -306   5416 0
  -378   5329 0
  -443   5218 0
  -368   5149 0
  -264   5164 0
  -400   5121 0
  -487   5058 0
  -382   5026 0
  -283   5070 0
  -148   5079 0
   -26   5081 0
   102   5100 0
   155   5210 0
    97   5296 0
    11   5347 0
   -53   5443 0
  -142   5503 0
  -241   5597 0
  -344   5600 0
  -255   5657 0
  -189   5735 0
  -290   5768 0
  -414   5760 0
  -315   5855 0
  -426   5853 0
  -501   5857 0

-11453   7261 1
-11421   7275 0
-11400   7303 0
-11430   7331 0
-11607   7313 0
-11763   7279 0
-11881   7204 0
-11796   7151 0
-11645   7148 0
-11797   7111 0
-11677   7061 0
-11504   7061 0
-11336   7064 0
-11174   7035 0
-11281   7023 0
-11453   7030 0
-11622   7019 0
-11732   6988 0
-11641   6941 0
-11485   6926 0
-11361   6903 0
-11234   6851 0
-11081   6859 0
-10924   6870 0
-10783   6895 0
-10675   6939 0
-10568   6914 0
-10435   6889 0
-10277   6885 0
-10221   6981 0
-10090   6988 0
-10188   7029 0
-10340   7059 0
-10446   7106 0
-10502   7219 0
-10585   7301 0
-10757   7327 0
-10774   7222 0
-10887   7260 0
-11026   7298 0
-11155   7233 0
-11284   7297 0
-11415   7261 0
-11453   7261 0

 -8486   2185 1
 -8455   2187 0
 -8431   2186 0
 -8401   2199 0
 -8299   2251 0
 -8173   2258 0
 -8079   2205 0
 -7962   2166 0
 -7854   2133 0
 -7767   2069 0
 -7706   1989 0
 -7583   1996 0
 -7466   2005 0
 -7563   2078 0
 -7653   2125 0
 -7747   2184 0
 -7856   2231 0
 -7965   2271 0
 -8078   2308 0
 -8200   2317 0
 -8321   2296 0
 -8432   2242 0
 -8486   2185 0

 -5575   5154 1
 -5607   5154 0
 -5648   5140 0
 -5678   5120 0
 -5745   5045 0
 -5787   4954 0
 -5874   4870 0
 -5932   4787 0
 -5830   4769 0
 -5704   4758 0
 -5585   4784 0
 -5531   4695 0
 -5444   4746 0
 -5352   4676 0
 -5270   4761 0
 -5380   4780 0
 -5376   4900 0
 -5476   4936 0
 -5587   4948 0
 -5645   5032 0
 -5596   5124 0
 -5575   5154 0

 17693  -3964 1
 17693  -3945 0
 17710  -3920 0
 17743  -3907 0
 17833  -3834 0
 17721  -3798 0
 17613  -3762 0
 17556  -3662 0
 17465  -3612 0
 17407  -3518 0
 17294  -3450 0
 17347  -3561 0
 17433  -3620 0
 17472  -3713 0
 17475  -3818 0
 17396  -3908 0
 17499  -3994 0
 17493  -4095 0
 17608  -4109 0
 17687  -4010 0
 17693  -3964 0

 12220   1848 1
 12201   1832 0
 12169   1833 0
 12144   1846 0
 12043   1787 0
 12031   1672 0
 11989   1578 0
 12023   1477 0
 12075   1387 0
 12178   1392 0
 12290   1360 0
 12382   1289 0
 12342   1398 0
 12227   1413 0
 12150   1511 0
 12198   1614 0
 12244   1722 0
 12229   1826 0
 12220   1848 0

 17410  -4155 1
 17415  -4126 0
 17407  -4109 0
 17384  -4110 0
 17271  -4068 0
 17191  -4157 0
 17114  -4255 0
 17026  -4321 0
 16923  -4374 0
 16823  -4419 0
 16720  -4503 0
 16663  -4594 0
 16761  -4621 0
 16898  -4663 0
 17005  -4626 0
 17091  -4530 0
 17112  -4422 0
 17209  -4383 0
 17316  -4300 0
 17395  -4208 0
 17410  -4155 0

 11003   -789 1
 11030   -801 0
 11056   -813 0
 11084   -820 0
 11199   -829 0
 11313   -828 0
 11422   -862 0
 11372   -770 0
 11268   -716 0
 11169   -673 0
 11069   -653 0
 10949   -684 0
 10850   -648 0
 10746   -609 0
 10643   -600 0
 10545   -672 0
 10647   -709 0
 10764   -759 0
 10876   -766 0
 10983   -782 0
 11003   -789 0

 14189   5301 1
 14184   5271 0
 14174   5244 0
 14167   5217 0
 14224   5109 0
 14215   4994 0
 14191   4880 0
 14201   4769 0
 14183   4655 0
 14304   4659 0
 14265   4756 0
 14286   4869 0
 14400   4925 0
 14375   5045 0
 14332   5158 0
 14332   5300 0
 14296   5412 0
 14186   5338 0
 14189   5301 0

 12542    976 1
 12542    957 0
 12551    929 0
 12546    902 0
 12457    853 0
 12337    862 0
 12241    805 0
 12192    706 0
 12282    758 0
 12404    760 0
 12405    653 0
 12493    588 0
 12551    697 0
 12658    727 0
 12637    836 0
 12597    938 0
 12542    976 0

 -1482   6637 1
 -1539   6623 0
 -1583   6641 0
 -1639   6646 0
 -1737   6606 0
 -1853   6604 0
 -2010   6600 0
 -2103   6534 0
 -2170   6612 0
 -2290   6642 0
 -2368   6570 0
 -2213   6549 0
 -2369   6488 0
 -2260   6479 0
 -2200   6385 0
 -2059   6377 0
 -1901   6341 0
 -1789   6363 0
 -1688   6384 0
 -1579   6418 0
 -1457   6447 0
 -1372   6520 0
 -1462   6578 0
 -1482   6637 0

 -7211   1973 1
 -7235   1977 0
 -7266   1991 0
 -7296   1992 0
 -7266   1892 0
 -7366   1854 0
 -7247   1821 0
 -7151   1771 0
 -7073   1838 0
 -6963   1843 0
 -6855   1833 0
 -6948   1912 0
 -7035   1971 0
 -7156   1989 0
 -7211   1973 0

 14193   4551 1
 14173   4541 0
 14161   4515 0
 14175   4488 0
 14143   4378 0
 14051   4328 0
 13981   4229 0
 14102   4175 0
 14178   4259 0
 14279   4215 0
 14385   4280 0
 14499   4303 0
 14531   4420 0
 14415   4408 0
 14311   4451 0
 14234   4518 0
 14193   4551 0

-11270   7621 1
-11368   7625 0
-11452   7646 0
-11537   7627 0
-11659   7599 0
-11542   7588 0
-11695   7571 0
-11576   7561 0
-11744   7538 0
-11601   7509 0
-11404   7532 0
-11264   7517 0
-11145   7519 0
-11334   7487 0
-11150   7454 0
-10980   7486 0
-10874   7499 0
-10773   7499 0
-10662   7499 0
-10564   7546 0
-10683   7583 0
-10820   7613 0
-10952   7668 0
-10899   7563 0
-11098   7556 0
-11222   7604 0
-11270   7621 0

  -732   5531 1
  -761   5516 0
  -800   5516 0
  -836   5495 0
  -922   5426 0
 -1006   5352 0
  -943   5262 0
 -1025   5187 0
  -912   5153 0
  -788   5190 0
  -655   5222 0
  -611   5331 0
  -557   5444 0
  -693   5515 0
  -732   5531 0

 -7238  -7271 1
 -7178  -7266 0
 -7080  -7266 0
 -6987  -7261 0
 -6851  -7222 0
 -6823  -7108 0
 -6889  -7024 0
 -6958  -6941 0
 -7084  -6882 0
 -7213  -6915 0
 -7160  -7026 0
 -7092  -7107 0
 -7274  -7111 0
 -7413  -7153 0
 -7535  -7173 0
 -7433  -7213 0
 -7318  -7191 0
 -7201  -7179 0
 -7092  -7224 0
 -7280  -7234 0
 -7238  -7271 0

 -6853  -5482 1
 -6803  -5484 0
 -6754  -5487 0
 -6704  -5490 0
 -6556  -5491 0
 -6672  -5428 0
 -6778  -5371 0
 -6859  -5267 0
 -6964  -5263 0
 -7042  -5331 0
 -6960  -5422 0
 -7074  -5419 0
 -7179  -5450 0
 -7077  -5471 0
 -6936  -5488 0
 -6853  -5482 0

 -9207   7663 1
 -9315   7652 0
 -9325   7669 0
 -9400   7691 0
 -9516   7701 0
 -9648   7698 0
 -9500   7630 0
 -9360   7630 0
 -9232   7591 0
 -9187   7477 0
 -9005   7457 0
 -8883   7474 0
 -8705   7450 0
 -8532   7458 0
 -8340   7473 0
 -8172   7450 0
 -8056   7458 0
 -7955   7534 0
 -8118   7571 0
 -8224   7582 0
 -8348   7578 0
 -8455   7568 0
 -8562   7552 0
 -8741   7554 0
 -8859   7554 0
 -8968   7588 0
 -9094   7610 0
 -9207   7663 0

  1088   7940 1
  1170   7920 0
  1193   7892 0
  1209   7862 0
  1371   7824 0
  1491   7868 0
  1594   7853 0
  1492   7814 0
  1653   7782 0
  1533   7761 0
  1426   7748 0
  1570   7703 0
  1678   7667 0
  1755   7733 0
  1843   7787 0
  2016   7862 0
  2118   7878 0
  1992   7907 0
  1893   7926 0
  1772   7983 0
  1639   7995 0
  1548   7938 0
  1428   7968 0
  1307   7982 0
  1181   7974 0
  1088   7940 0

  5644   7469 1
  5580   7453 0
  5542   7428 0
  5533   7414 0
  5419   7370 0
  5580   7336 0
  5703   7353 0
  5794   7410 0
  5963   7470 0
  6076   7511 0
  6259   7550 0
  6364   7566 0
  6470   7577 0
  6573   7591 0
  6676   7605 0
  6778   7622 0
  6888   7669 0
  6715   7695 0
  6612   7677 0
  6439   7638 0
  6318   7626 0
  6216   7625 0
  6107   7618 0
  5916   7588 0
  5756   7542 0
  5623   7505 0
  5644   7469 0

 15212   -418 1
 15194   -425 0
 15159   -423 0
 15162   -451 0
 15084   -547 0
 14970   -552 0
 14857   -549 0
 14950   -615 0
 15059   -618 0
 15153   -558 0
 15238   -476 0
 15212   -418 0

-11971   7417 1
-12037   7432 0
-12124   7450 0
-12227   7448 0
-12334   7443 0
-12445   7432 0
-12466   7319 0
-12544   7236 0
-12445   7177 0
-12347   7131 0
-12208   7130 0
-12057   7154 0
-11958   7229 0
-11854   7277 0
-11698   7313 0
-11546   7350 0
-11660   7398 0
-11835   7424 0
-11971   7417 0

 -8316   6495 1
 -8351   6512 0
 -8410   6526 0
 -8473   6535 0
 -8579   6584 0
 -8628   6473 0
 -8711   6366 0
 -8589   6370 0
 -8460   6333 0
 -8353   6405 0
 -8247   6386 0
 -8095   6351 0
 -8173   6414 0
 -8273   6481 0
 -8316   6495 0

  7980    747 1
  7984    717 0
  7986    688 0
  7994    660 0
  8098    608 0
  8183    679 0
  8162    783 0
  8104    888 0
  8033    971 0
  7992    861 0
  7979    761 0
  7980    747 0

 12885     27 1
 12868     45 0
 12846     61 0
 12829     81 0
 12795    207 0
 12742    117 0
 12769     16 0
 12828    -82 0
 12794     40 0
 12885     27 0

 14796  -4077 1
 14773  -4085 0
 14738  -4096 0
 14695  -4105 0
 14593  -4105 0
 14483  -4071 0
 14515  -4191 0
 14558  -4298 0
 14674  -4359 0
 14749  -4292 0
 14822  -4211 0
 14829  -4107 0
 14796  -4077 0

 -9410   8106 1
 -9495   8095 0
 -9440   8067 0
 -9526   8057 0
 -9623   8006 0
 -9488   7969 0
 -9368   7938 0
 -9209   7934 0
 -9107   7920 0
 -9263   7916 0
 -9387   7903 0
 -9251   7854 0
 -9095   7816 0
 -8996   7835 0
 -8864   7832 0
 -8702   7892 0
 -8543   7942 0
 -8667   7956 0
 -8766   8029 0
 -8916   8037 0
 -9110   8080 0
 -9277   8131 0
 -9410   8106 0

 13173   3257 1
 13195   3282 0
 13195   3303 0
 13177   3323 0
 13085   3392 0
 12974   3335 0
 13057   3254 0
 13023   3142 0
 13140   3154 0
 13173   3257 0

-12762   5079 1
-12807   5085 0
-12831   5067 0
-12797   5048 0
-12685   4991 0
-12593   4934 0
-12497   4902 0
-12378   4835 0
-12424   4931 0
-12514   4992 0
-12608   5043 0
-12735   5069 0
-12762   5079 0

 12522   -938 1
 12547   -924 0
 12575   -916 0
 12603   -906 0
 12708   -861 0
 12600   -849 0
 12497   -890 0
 12393   -940 0
 12490   -970 0
 12522   -938 0

 -5269  -8091 1
 -5147  -8086 0
 -4976  -8076 0
 -4807  -8068 0
 -4641  -8057 0
 -4493  -8042 0
 -4363  -7997 0
 -4497  -7884 0
 -4404  -7831 0
 -4614  -7794 0
 -4749  -7795 0
 -4862  -7812 0
 -5011  -7861 0
 -5063  -7947 0
 -5202  -8000 0
 -5319  -8020 0
 -5433  -8041 0
 -5269  -8091 0

-10005   7387 1
-10063   7374 0
-10098   7351 0
-10041   7328 0
-10135   7279 0
-10267   7281 0
-10162   7233 0
-10026   7198 0
 -9933   7148 0
 -9826   7169 0
 -9671   7185 0
 -9720   7283 0
 -9775   7387 0
 -9886   7375 0
-10005   7387 0

  5142   7176 1
  5163   7156 0
  5244   7152 0
  5337   7143 0
  5452   7073 0
  5627   7064 0
  5743   7075 0
  5622   7121 0
  5539   7202 0
  5623   7310 0
  5462   7337 0
  5325   7300 0
  5209   7211 0
  5142   7176 0

 11949   1140 1
 11942   1121 0
 11934   1090 0
 11930   1073 0
 11859    987 0
 11773    909 0
 11874    973 0
 11962   1045 0
 11949   1140 0

 12120   2510 1
 12099   2497 0
 12083   2471 0
 12064   2449 0
 12013   2343 0
 12051   2240 0
 12133   2303 0
 12166   2414 0
 12167   2520 0
 12120   2510 0

 14036   7485 1
 14142   7494 0
 14235   7490 0
 14322   7499 0
 14216   7560 0
 14336   7509 0
 14441   7510 0
 14272   7586 0
 14128   7605 0
 13979   7593 0
 13874   7615 0
 13741   7578 0
 13836   7476 0
 13938   7477 0
 14036   7485 0

 16488  -2061 1
 16465  -2042 0
 16436  -2027 0
 16411  -2017 0
 16478  -2110 0
 16577  -2179 0
 16686  -2235 0
 16600  -2146 0
 16513  -2074 0
 16488  -2061 0

 -4844    -25 1
 -4864    -22 0
 -4893    -18 0
 -4921    -14 0
 -5034    -12 0
 -5068   -114 0
 -4970   -170 0
 -4881   -119 0
 -4844    -25 0

 12816   -287 1
 12807   -301 0
 12791   -335 0
 12810   -319 0
 12910   -336 0
 13016   -354 0
 12946   -280 0
 12832   -285 0
 12816   -287 0

 12027   -826 1
 12013   -835 0
 11989   -847 0
 11987   -877 0
 12101   -891 0
 12215   -874 0
 12099   -836 0
 12027   -826 0

  1559   3828 1
  1531   3823 0
  1499   3816 0
  1465   3810 0
  1358   3805 0
  1255   3802 0
  1342   3732 0
  1437   3696 0
  1518   3764 0
  1559   3828 0

 15082   -267 1
 15091   -278 0
 15117   -289 0
 15142   -305 0
 15237   -368 0
 15284   -474 0
 15258   -377 0
 15168   -307 0
 15082   -267 0

 11721   -837 1
 11708   -842 0
 11683   -859 0
 11678   -890 0
 11782   -891 0
 11906   -867 0
 11809   -813 0
 11721   -837 0

 10954   1991 1
 10940   1987 0
 10922   1975 0
 10897   1954 0
 10873   1854 0
 10991   1840 0
 11057   1916 0
 10975   1997 0
 10954   1991 0

 -9526   7396 1
 -9498   7377 0
 -9530   7370 0
 -9563   7350 0
 -9517   7236 0
 -9411   7206 0
 -9320   7278 0
 -9164   7300 0
 -9036   7381 0
 -9186   7400 0
 -9364   7414 0
 -9526   7396 0

-10055   7659 1
-10035   7636 0
 -9991   7605 0
-10056   7611 0
-10158   7636 0
-10240   7571 0
-10110   7561 0
 -9957   7568 0
 -9805   7510 0
 -9756   7612 0
 -9874   7656 0
-10055   7659 0

   918   4121 1
   896   4106 0
   866   4088 0
   826   4086 0
   849   3980 0
   937   3917 0
   973   4038 0
   918   4121 0

 13462   3418 1
 13438   3425 0
 13408   3436 0
 13372   3426 0
 13270   3380 0
 13281   3278 0
 13372   3350 0
 13466   3392 0
 13462   3418 0

-11889   7734 1
-11949   7718 0
-12017   7694 0
-12090   7670 0
-12263   7629 0
-12109   7604 0
-11982   7591 0
-11871   7644 0
-11766   7634 0
-11607   7670 0
-11694   7740 0
-11796   7736 0
-11889   7734 0

 -6041   4692 1
 -6063   4695 0
 -6094   4669 0
 -6110   4646 0
 -6030   4569 0
 -6033   4670 0
 -6041   4692 0

  2630   3530 1
  2613   3522 0
  2577   3522 0
  2548   3532 0
  2441   3537 0
  2536   3498 0
  2630   3530 0

  2450   8032 1
  2366   8022 0
  2294   8037 0
  2237   8013 0
  2028   8039 0
  1903   8020 0
  2128   7977 0
  2238   7937 0
  2369   7921 0
  2506   7936 0
  2685   7981 0
  2539   8023 0
  2450   8032 0

 12352   1091 1
 12335   1095 0
 12306   1092 0
 12294   1069 0
 12242    977 0
 12322    912 0
 12332   1020 0
 12352   1091 0

 10587   -149 1
 10576   -165 0
 10563   -163 0
 10540   -166 0
 10592   -259 0
 10600   -158 0
 10587   -149 0

-10225  -7219 1
-10153  -7223 0
-10062  -7229 0
 -9958  -7238 0
 -9781  -7251 0
 -9609  -7246 0
 -9694  -7187 0
 -9807  -7205 0
 -9956  -7205 0
-10121  -7196 0
-10224  -7205 0
-10225  -7219 0

-10381   7936 1
-10477   7933 0
-10553   7914 0
-10454   7892 0
-10256   7830 0
-10120   7818 0
 -9945   7785 0
-10093   7886 0
-10232   7900 0
-10381   7936 0

  3459   3568 1
  3442   3563 0
  3411   3550 0
  3378   3539 0
  3278   3518 0
  3394   3497 0
  3459   3568 0

 12429   1257 1
 12432   1241 0
 12445   1215 0
 12470   1198 0
 12559   1113 0
 12545   1221 0
 12444   1254 0
 12429   1257 0

 -7828   1821 1
 -7804   1815 0
 -7781   1795 0
 -7754   1785 0
 -7632   1788 0
 -7738   1846 0
 -7828   1821 0

 12192   1187 1
 12203   1170 0
 12207   1142 0
 12205   1114 0
 12314   1145 0
 12215   1182 0
 12192   1187 0

 11899   -955 1
 11919   -973 0
 11947   -976 0
 11973   -985 0
 12076  -1014 0
 12002   -937 0
 11899   -955 0

  9967   7938 1
  9985   7968 0
  9953   7995 0
  9840   7995 0
  9696   8013 0
  9529   8007 0
  9332   7957 0
  9484   7913 0
  9612   7901 0
  9746   7885 0
  9882   7881 0
  9967   7938 0

 -9796   6989 1
 -9824   6974 0
 -9835   6948 0
 -9870   6923 0
 -9742   6857 0
 -9605   6857 0
 -9714   6960 0
 -9796   6989 0

  9300   1355 1
  9287   1336 0
  9283   1308 0
  9277   1278 0
  9264   1162 0
  9294   1287 0
  9300   1355 0

 10010   7799 1
 10130   7816 0
 10266   7821 0
 10411   7830 0
 10515   7846 0
 10337   7909 0
 10225   7932 0
 10120   7906 0
 10019   7855 0
 10010   7799 0

 12406   1125 1
 12396   1113 0
 12389   1086 0
 12376   1060 0
 12333    953 0
 12403   1049 0
 12406   1125 0

 15474   -555 1
 15473   -583 0
 15488   -606 0
 15509   -625 0
 15474   -555 0

-13359   5635 1
-13348   5621 0
-13321   5596 0
-13318   5567 0
-13223   5478 0
-13262   5591 0
-13359   5635 0

 12287   7291 1
 12377   7280 0
 12462   7266 0
 12537   7248 0
 12655   7302 0
 12506   7365 0
 12340   7354 0
 12287   7291 0

 -6409   4698 1
 -6434   4676 0
 -6414   4656 0
 -6384   4638 0
 -6288   4606 0
 -6391   4663 0
 -6409   4698 0

 -6369   4986 1
 -6427   4989 0
 -6414   4974 0
 -6375   4959 0
 -6264   4915 0
 -6369   4986 0

  7019  -4959 1
  6985  -4944 0
  7016  -4936 0
  7044  -4935 0
  6919  -4906 0
  7019  -4959 0

 12032   1347 1
 12045   1333 0
 12067   1312 0
 12078   1285 0
 12032   1347 0

 -8080   7369 1
 -8083   7347 0
 -8039   7323 0
 -8007   7297 0
 -7849   7286 0
 -7653   7283 0
 -7730   7350 0
 -7926   7365 0
 -8080   7369 0

 -7378  -4336 1
 -7366  -4316 0
 -7357  -4293 0
 -7367  -4268 0
 -7378  -4336 0

 -6158  -8080 1
 -6057  -8059 0
 -6024  -8031 0
 -6019  -8002 0
 -6131  -7970 0
 -6247  -8023 0
 -6416  -8027 0
 -6639  -8018 0
 -6432  -8048 0
 -6304  -8069 0
 -6158  -8080 0

-15324   5783 1
-15360   5777 0
-15376   5752 0
-15408   5760 0
-15284   5740 0
-15324   5783 0

 17874  -1700 1
 17893  -1689 0
 17916  -1674 0
 17941  -1678 0
 17874  -1700 0

 13854   -737 1
 13837   -741 0
 13811   -754 0
 13793   -776 0
 13898   -777 0
 13854   -737 0

-15586   2024 1
-15584   2002 0
-15599   1975 0
-15591   1946 0
-15487   1946 0
-15568   2020 0
-15586   2024 0

   937   4300 1
   929   4278 0
   895   4264 0
   864   4244 0
   919   4147 0
   949   4259 0
   937   4300 0

-13167   5413 1
-13201   5401 0
-13224   5380 0
-13237   5368 0
-13167   5413 0

 12433   1144 1
 12440   1119 0
 12451   1095 0
 12476   1082 0
 12433   1144 0

 -6719   1825 1
 -6711   1799 0
 -6679   1797 0
 -6648   1797 0
 -6719   1825 0

 17807  -1825 1
 17827  -1817 0
 17854  -1811 0
 17863  -1791 0
 17776  -1741 0
 17807  -1825 0

 -7469  -5002 1
 -7450  -4990 0
 -7450  -4965 0
 -7445  -4933 0
 -7469  -5002 0

 14868   4550 1
 14842   4535 0
 14802   4532 0
 14780   4521 0
 14695   4454 0
 14802   4506 0
 14868   4550 0

-13492   5833 1
-13478   5811 0
-13470   5780 0
-13447   5746 0
-13492   5833 0

 -5454   7028 1
 -5460   7001 0
 -5473   6977 0
 -5455   6958 0
 -5294   6934 0
 -5195   6971 0
 -5314   7014 0
 -5454   7028 0

  9506   8120 1
  9346   8101 0
  9288   8077 0
  9233   8045 0
  9435   8007 0
  9586   8020 0
  9719   8034 0
  9634   8111 0
  9506   8120 0

 15853   -763 1
 15872   -785 0
 15894   -802 0
 15920   -816 0
 15853   -763 0

 -7501   6815 1
 -7532   6825 0
 -7608   6832 0
 -7675   6820 0
 -7585   6728 0
 -7508   6800 0
 -7501   6815 0

-15870  -7978 1
-15887  -7951 0
-15968  -7927 0
-16061  -7903 0
-16281  -7878 0
-16146  -7976 0
-15993  -7985 0
-15870  -7978 0

-11873  -7385 1
-11967  -7378 0
-12069  -7375 0
-12167  -7366 0
-12280  -7364 0
-12200  -7436 0
-12098  -7428 0
-11997  -7419 0
-11873  -7385 0

-13582   5826 1
-13619   5815 0
-13625   5793 0
-13611   5768 0
-13503   5749 0
-13582   5826 0

 -9149     -2 1
 -9133    -28 0
 -9117    -58 0
 -9141    -78 0
 -9149     -2 0

 12604   -318 1
 12609   -345 0
 12629   -364 0
 12655   -377 0
 12604   -318 0

 18006   7096 1 # -17994   7096 1
 18092   7094 0 # -17908   7094 0
 18181   7103 0 # -17819   7103 0
 18009   7154 0 # -17991   7154 0
 18006   7096 0

 17935   7136 1
 17918   7086 0

  2303   3890 1
  2333   3874 0
  2359   3852 0
  2391   3839 0
  2303   3890 0

 -7198   4105 1
 -7238   4103 0
 -7269   4099 0
 -7309   4095 0
 -7207   4099 0
 -7198   4105 0

-16952   6305 1
-16900   6321 0
-16922   6334 0
-16976   6344 0
-17088   6361 0
-16982   6308 0
-16952   6305 0

 -3601  -5486 1
 -3593  -5475 0
 -3607  -5448 0
 -3645  -5426 0
 -3781  -5399 0
 -3652  -5453 0
 -3601  -5486 0

 -5947  -5221 1
 -5913  -5209 0
 -5876  -5195 0
 -5829  -5182 0
 -5930  -5177 0
 -5947  -5221 0

 12302   -439 1
 12287   -457 0
 12283   -486 0
 12278   -514 0
 12302   -439 0

 -7165  -7958 1
 -7069  -7959 0
 -6978  -7933 0
 -6912  -7907 0
 -6748  -7855 0
 -6956  -7868 0
 -7067  -7888 0
 -7181  -7940 0
 -7165  -7958 0

  1242   5609 1
  1202   5587 0
  1165   5586 0
  1112   5572 0
  1217   5518 0
  1242   5609 0

 -6848  -5493 1
 -6885  -5496 0
 -6940  -5504 0
 -6976  -5518 0
 -6823  -5555 0
 -6848  -5493 0

 14630   7546 1
 14635   7518 0
 14730   7499 0
 14819   7482 0
 14928   7476 0
 15034   7488 0
 14849   7532 0
 14741   7539 0
 14630   7546 0

 12670   7252 1
 12748   7271 0
 12829   7287 0
 12893   7310 0
 12759   7349 0
 12641   7285 0
 12670   7252 0

 11447   -817 1
 11463   -836 0
 11491   -846 0
 11516   -873 0
 11447   -817 0

 16066   -833 1
 16067   -852 0
