0 0 0 .987672 0 -.00538726 .3 -.3
.1 .0998334 .05 .986199 .05 -.00603544 .323 -.323
.2 .198669 .1 .984554 .1 -.00676046 .346 -.346
.3 .29552 .15 .982718 .15 -.00757109 .369 -.369
.4 .389418 .2 .98067 .2 -.00847711 .392 -.392
.5 .479426 .25 .978387 .25 -.00948933 .415 -.415
.6 .564642 .3 .975845 .3 -.0106192 .438 -.438
.7 .644218 .35 .973016 .35 -.01188 .461 -.461
.8 .717356 .4 .969871 .4 -.013286 .484 -.484
.9 .783327 .45 .966378 .45 -.014853 .507 -.507
1 .841471 .5 .962503 .5 -.0165979 .53 -.53
1.1 .891207 .55 .958211 .55 -.0185388 .553 -.553
1.2 .932039 .6 .953463 .6 -.0206962 .576 -.576
1.3 .963558 .65 .948218 .65 -.0230918 .599 -.599
1.4 .98545 .7 .942435 .7 -.0257486 .622 -.622
1.5 .997495 .75 .936071 .75 -.0286912 .645 -.645
1.6 .999574 .8 .929082 .8 -.031946 .668 -.668
1.7 .991665 .85 .921423 .85 -.0355409 .691 -.691
1.8 .973848 .9 .913051 .9 -.039505 .714 -.714
1.9 .9463 .95 .903924 .95 -.0438681 .737 -.737
2 .909297 1 .894002 1 -.0486615 .76 -.76
2.1 .863209 1.05 .883249 1.05 -.0539168 .783 -.783
2.2 .808496 1.1 .871635 1.1 -.0596653 .806 -.806
2.3 .745705 1.15 .859133 1.15 -.0659396 .829 -.829
2.4 .675463 1.2 .845726 1.2 -.0727703 .852 -.852
2.5 .598472 1.25 .831406 1.25 -.0801868 .875 -.875
2.6 .515501 1.3 .816174 1.3 -.0882172 .898 -.898
2.7 .42738 1.35 .800041 1.35 -.0968878 .921 -.921
2.8 .334988 1.4 .783031 1.4 -.106221 .944 -.944
2.9 .239249 1.45 .765179 1.45 -.116237 .967 -.967
3 .14112 1.5 .746533 1.5 -.126951 .99 -.99
3.1 .0415807 1.55 .727152 1.55 -.138375 1.013 -1.013
3.2 -.0583741 1.6 .707107 1.6 -.150515 1.036 -1.036
3.3 -.157746 1.65 .686476 1.65 -.163375 1.059 -1.059
3.4 -.255541 1.7 .665348 1.7 -.176951 1.082 -1.082
3.5 -.350783 1.75 .643818 1.75 -.191237 1.105 -1.105
3.6 -.44252 1.8 .621983 1.8 -.206221 1.128 -1.128
3.7 -.529836 1.85 .599946 1.85 -.221888 1.151 -1.151
3.8 -.611858 1.9 .577807 1.9 -.238217 1.174 -1.174
3.9 -.687766 1.95 .555665 1.95 -.255187 1.197 -1.197
4 -.756802 2 .533617 2 -.27277 1.22 -1.22
4.1 -.818277 2.05 .511753 2.05 -.29094 1.243 -1.243
4.2 -.871576 2.1 .490156 2.1 -.309666 1.266 -1.266
4.3 -.916166 2.15 .468903 2.15 -.328917 1.289 -1.289
4.4 -.951602 2.2 .448063 2.2 -.348661 1.312 -1.312
4.5 -.97753 2.25 .427693 2.25 -.368868 1.335 -1.335
4.6 -.993691 2.3 .407845 2.3 -.389505 1.358 -1.358
4.7 -.999923 2.35 .388561 2.35 -.410541 1.381 -1.381
4.8 -.996165 2.4 .369874 2.4 -.431946 1.404 -1.404
4.9 -.982453 2.45 .351811 2.45 -.453691 1.427 -1.427
5 -.958924 2.5 .334389 2.5 -.475748 1.45 -1.45
5.1 -.925815 2.55 .31762 2.55 -.498092 1.473 -1.473
5.2 -.883455 2.6 .301511 2.6 -.520697 1.496 -1.496
