-180 1
-175 0.992404
-170 0.969846
-165 0.933013
-160 0.883022
-155 0.821394
-150 0.75
-145 0.67101
-140 0.586824
-135 0.5
-130 0.413176
-125 0.32899
-120 0.25
-115 0.178606
-110 0.116978
-105 0.0669873
-100 0.0301537
-95 0.00759612
-90 3.7494e-33
-85 0.00759612
-80 0.0301537
-75 0.0669873
-70 0.116978
-65 0.178606
-60 0.25
-55 0.32899
-50 0.413176
-45 0.5
-40 0.586824
-35 0.67101
-30 0.75
-25 0.821394
-20 0.883022
-15 0.933013
-10 0.969846
-5 0.992404
0 1
5 0.992404
10 0.969846
15 0.933013
20 0.883022
25 0.821394
30 0.75
35 0.67101
40 0.586824
45 0.5
50 0.413176
55 0.32899
60 0.25
65 0.178606
70 0.116978
75 0.0669873
80 0.0301537
85 0.00759612
90 3.7494e-33
95 0.00759612
100 0.0301537
105 0.0669873
110 0.116978
115 0.178606
120 0.25
125 0.32899
130 0.413176
135 0.5
140 0.586824
145 0.67101
150 0.75
155 0.821394
160 0.883022
165 0.933013
170 0.969846
175 0.992404
180 1
